Bus_Name,Service_Name,Departure_Time,Arrival_Time,Duration,Fare
Asian Xpress ,A/c Sleeper (2+1),23:15,02:40,03h 25m,780,
Dreamliner Travels ,A/C Sleeper (2+1),23:15,04:30,05h 15m,749,
Ishaa tours and travels  ,A/c Sleeper (2+1),09:30,13:30,04h 00m,650,
National  travels ,Volvo A/C Multi Axle Sleeper(2+1),23:45,04:00,04h 15m,750,
SRS Travels  ,Non A/C Sleeper  (2+1),22:45,03:30,04h 45m,699,
Green  Line  Travels ,A/C Sleeper (2+1),19:00,00:30,05h 30m,650,
Sri Gajapathy Travels ,A/C Sleeper (2+1),06:00,10:30,04h 30m,500,
RV Transport ,A/C Sleeper (2+1),22:45,02:30,03h 45m,729,
Dreamliner Travels ,A/C Sleeper (2+1),22:30,03:30,05h 00m,799,
National  travels ,A/C Sleeper (2+1),22:30,03:00,04h 30m,750,
V2K Travels ,A/c Sleeper (2+1),07:00,12:00,05h 00m,500,
Universal bus (ubs) ,A/C Sleeper (2+1),23:15,03:30,04h 15m,649,
UST Bus ,A/c Sleeper (2+1),22:30,02:00,03h 30m,710,
Roshan Tours and Travels ,A/C Sleeper (2+1),23:15,02:45,03h 30m,749,
Roshan Tours and Travels ,A/C Sleeper (2+1),22:30,02:30,04h 00m,749,
National  travels ,A/C Sleeper (2+1),08:45,16:30,07h 45m,550,
Lakshmi Travels ,A/C Sleeper (2+1),10:30,14:00,03h 30m,480,
Jabbar  Travels ,A/C Sleeper (2+1),22:30,02:30,04h 00m,590,
Lakshmi Travels ,A/C Sleeper (2+1),22:00,02:45,04h 45m,540,
Mettur  super services ,Bharat Benz A/C Sleeper (2+1),22:35,03:30,04h 55m,499,
Parveen  Travels  ,Corona A/C Sleeper (2+1),15:15,17:45,02h 30m,650,
Bharathi  Travels   ,A/C Sleeper (2+1),13:30,18:00,04h 30m,599,
Green  Line  Travels ,A/C Sleeper (2+1),18:55,23:55,0-19h 00m,650,
National  travels ,Volvo A/C Multi Axle Semi Sleeper (2+2),17:30,23:20,05h 50m,500,
National  travels ,Volvo B11R MultiAxle SemiSleeper Auto Trans.(2+2),11:30,15:15,03h 45m,500,
SRS Travels  ,Scania AC Multi Axle Semi Sleeper(2+2),07:30,11:45,04h 15m,600,
Hebron transports ,Scania AC Multi Axle Semi Sleeper(2+2),04:30,07:40,03h 10m,795,
SRS Travels  ,Mercedes Benz Multi Axle (2+2),23:30,03:30,04h 00m,700,
Jabbar  Travels ,Non A/C Seater/Sleeper (2+1),23:30,04:30,05h 00m,425,
Universal bus (ubs) ,A/C Sleeper (2+1),13:30,17:30,04h 00m,549,
